"lb";"up";"alpha";"K";"name";"t"
"1";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.1
"11";-1.64488114551373;1.64488114551373;0.1;1;"PK";1
"12";-1.87540839157347;1.87540839157347;0.1;2;"PK";0.5
"2";-1.87540839157347;1.87540839157347;0.1;2;"PK";1
"13";-1.99216714277997;1.99216714277997;0.1;3;"PK";0.333333333333333
"21";-1.99216714277997;1.99216714277997;0.1;3;"PK";0.666666666666667
"3";-1.99216714277997;1.99216714277997;0.1;3;"PK";1
"14";-2.06739760967103;2.06739760967103;0.1;4;"PK";0.25
"22";-2.06739760967103;2.06739760967103;0.1;4;"PK";0.5
"31";-2.06739760967103;2.06739760967103;0.1;4;"PK";0.75
"4";-2.06739760967103;2.06739760967103;0.1;4;"PK";1
"15";-2.12166938662495;2.12166938662495;0.1;5;"PK";0.2
"23";-2.12166938662495;2.12166938662495;0.1;5;"PK";0.4
"32";-2.12166938662495;2.12166938662495;0.1;5;"PK";0.6
"41";-2.12166938662495;2.12166938662495;0.1;5;"PK";0.8
"5";-2.12166938662495;2.12166938662495;0.1;5;"PK";1
"16";-2.16353245306197;2.16353245306197;0.1;6;"PK";0.166666666666667
"24";-2.16353245306197;2.16353245306197;0.1;6;"PK";0.333333333333333
"33";-2.16353245306197;2.16353245306197;0.1;6;"PK";0.5
"42";-2.16353245306197;2.16353245306197;0.1;6;"PK";0.666666666666667
"51";-2.16353245306197;2.16353245306197;0.1;6;"PK";0.833333333333333
"6";-2.16353245306197;2.16353245306197;0.1;6;"PK";1
"17";-2.19727459633765;2.19727459633765;0.1;7;"PK";0.142857142857143
"25";-2.19727459633765;2.19727459633765;0.1;7;"PK";0.285714285714286
"34";-2.19727459633765;2.19727459633765;0.1;7;"PK";0.428571428571429
"43";-2.19727459633765;2.19727459633765;0.1;7;"PK";0.571428571428571
"52";-2.19727459633765;2.19727459633765;0.1;7;"PK";0.714285714285714
"61";-2.19727459633765;2.19727459633765;0.1;7;"PK";0.857142857142857
"7";-2.19727459633765;2.19727459633765;0.1;7;"PK";1
"18";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.125
"26";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.25
"35";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.375
"44";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.5
"53";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.625
"62";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.75
"71";-2.22533821563737;2.22533821563737;0.1;8;"PK";0.875
"8";-2.22533821563737;2.22533821563737;0.1;8;"PK";1
"19";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.111111111111111
"27";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.222222222222222
"36";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.333333333333333
"45";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.444444444444444
"54";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.555555555555556
